title,knowledge,source
Кто освобождается от уплаты страховых взносов по гражданским договорам?,"Освобождаются самозанятые, которые имеют право на льготы, а также ИП, которые сами платят взносы за себя.",
Какие взносы уплачиваются в налоговую инспекцию?,"Взносы на обязательное пенсионное страхование, обязательное медицинское страхование, страхование на случай временной нетрудоспособности и в связи с материнством.",
Какие взносы уплачиваются в Социальный фонд России (СФР)?,"Взносы от несчастных случаев на производстве и профессиональных заболеваний, но только за работников по трудовому договору, а по гражданскому — если это указано в договоре.",
Каковы тарифы страховых взносов для субъектов малого и среднего предпринимательства?,"Для субъектов МСП установлены пониженные тарифы: 30% с выплат в пределах 1,5 МРОТ и 15% с выплат сверх этого, а для производственных субъектов — 30% и 7,6% соответственно.",
Какие категории получают льготные тарифы на страховые взносы?,"ИТ-компании, участники свободных экономических зон, организации в анимационной киноиндустрии и организации на АУСН (для них страховые взносы не платятся, но оплачивается фиксированная сумма на страхование от несчастных случаев).",
Какие доходы облагаются страховыми взносами?,"Страховые взносы уплачиваются с заработной платы, премий, материальной помощи и отпускных.",
Когда необходимо уплачивать страховые взносы в налоговую инспекцию?,Страховые взносы необходимо перечислить не позднее 28-го числа следующего календарного месяца.,
Какие штрафы предусмотрены за неуплату страховых взносов?,"За неумышленную неуплату — 20% от суммы взноса, за умышленную — 40%. Для должностных лиц — штрафы в размере 5-10 тыс. рублей или дисквалификация на 1-2 года при повторном нарушении.",
Какой формат отчетности по страховым взносам необходимо сдавать?,"Необходимо сдавать единый отчет, объединяющий данные из старых форм: 4-ФСС, СЗВ-СТАЖ, ДСВ-3, СЗВ-ТД. Всё сдается не позднее 25-го числа каждого месяца.",
Кто обязан уплачивать страховые взносы?,"Все организации и индивидуальные предприниматели (ИП), привлекающие рабочую силу, обязаны уплачивать страховые взносы за работников по трудовому договору и за исполнителей по гражданским договорам.",
Кто не обязан платить страховые взносы за исполнителей по гражданским договорам?,"Не нужно платить взносы за исполнителей по гражданским договорам: с самозанятыми, которые освобождены от страховых взносов, и с ИП, которые сами платят взносы за себя.",
Где уплачиваются взносы на травматизм?,Взносы на травматизм уплачиваются в отделение Социального фонда России (СФР).,
Какие виды деятельности требуют уплаты взносов на травматизм?,Взносы на травматизм обязательны для всех работников по трудовому договору. По гражданским договорам — только если это предусмотрено в договоре.,
Какие тарифы взносов на травматизм существуют?,"Тарифы взносов на травматизм составляют от 0,2% до 8,5% в зависимости от класса профессионального риска предприятия.",
Какие виды доходов облагаются взносами?,"Взносы уплачиваются не только с зарплаты, но и с премий, отпускных, некоторых видов матпомощи и компенсаций. Не облагаются больничные и некоторые виды материальной помощи при увольнении.",
Какие льготы существуют по взносам на травматизм?,"Для бизнеса на АвтоУСН в Татарстане, Москве, Московской и Калужской областях предусмотрен льготный тариф — 2 750 рублей в год, по 1/12 от этой суммы в месяц.",
Когда нужно сдавать отчетность по страховым взносам?,"Сведения о взносах и сотрудниках сдаются в составе формы «ЕФС-1» ежеквартально до 25-го числа в январе, апреле, июле и октябре.",
Какие последствия у непредставления отчетности?,"За непредставление отчетности предусмотрен штраф в размере 5% суммы страховых взносов за последние три месяца, но не более 30% и не менее 1 000 рублей.",
"Как можно убедиться, что не пропустить сроки уплаты взносов?","Для контроля сроков можно использовать сервис «Календарь предпринимателя» на Цифровой платформе МСП.РФ, который отправляет напоминания на электронную почту.",
Какие организации обязаны сдавать отчетность в налоговую орган?,Индивидуальные предприниматели и юридические лица должны сдавать в налоговый орган отчетность – документы об исчислении и уплате налогов.,
Какие сроки сдачи Расчета по страховым взносам (РСВ)?,"РСВ должен сдаваться до 25 числа месяца, следующего за окончанием квартала — то есть в январе, апреле, июле и октябре. В остальные месяцы до 25-го числа следует направить уведомление об исчисленных суммах страховых взносов.",
Когда сдавать РСВ для глав КФХ?,Главы крестьянско-фермерских хозяйств должны сдавать РСВ за себя и других членов хозяйства не позднее 25 января следующего года.,
Какие данные включает форма 6-НДФЛ?,"Форма 6-НДФЛ включает все работники, которым предприятие платило зарплату, премии или прочие выплаты в течение отчетного периода.",
Как часто подавать форму 6-НДФЛ?,Индивидуальные предприниматели и юридические лица должны подавать форму 6-НДФЛ раз в квартал.,
Обязательна ли бухгалтерская отчетность для ИП?,"Бухгалтерская отчетность не обязана сдаваться индивидуальными предпринимателями, но обязательна для юридических лиц, которые должны сдать ее до 31 марта.",
Какие способы сдачи отчетности существуют в налоговую?,"Отчетность можно сдать лично в налоговый орган, письмом с описью вложения, в электронной форме с квалифицированной электронной подписью, через оператора ЭДО или через сайт ФНС.",
Какие последствия могут быть за несдачу отчетности?,"Если отчетность не подать вовремя, придется платить штраф.",
Какие документы подаются в налоговую по страховым взносам?,"В налоговую подается Расчет по страховым взносам (РСВ), в котором указывается информация о выплаченных страховых взносах с заработных плат сотрудников.",
Что такое «Календарь предпринимателя»?,"«Календарь предпринимателя» — это сервис, который заранее напоминает о сдаче отчетности по разным формам налогообложения.",
Кто имеет право на упрощенную бухгалтерскую отчетность в соответствии с законодательством РФ?,"Право на упрощенную бухгалтерскую отчетность имеют представители малого бизнеса, некоммерческие организации и компании, получившие статус участника проекта «Сколково».",
Какие организации не могут использовать упрощенную бухгалтерскую отчетность?,"Упрощенную бухгалтерскую отчетность не могут сдавать организации, финансовая отчетность которых подлежит обязательному аудиту, жилищные и жилищно-строительные кооперативы, кредитные потребительские кооперативы, микрофинансовые организации, организации бюджетной сферы, политические партии, коллегии адвокатов, адвокатские бюро, юридические консультации, адвокатские палаты, нотариальные палаты и организации, являющиеся иностранными агентами.",
Что включает в себя упрощенная бухгалтерская отчетность коммерческих организаций?,"Упрощенная бухгалтерская отчетность коммерческих организаций включает бухгалтерский баланс, отчет о финансовых результатах и приложения к ним.",
Какие документы составляют упрощенную отчетность некоммерческих организаций?,"Упрощенная отчетность некоммерческих организаций включает бухгалтерский баланс, отчет о целевом использовании средств (при наличии) и приложения.",
Где утверждены формы упрощенной бухгалтерской отчетности в России?,Формы упрощенной бухгалтерской отчетности утверждены приказом Минфина России от 02.07.2010 № 66н.,
Какой срок подачи упрощенной бухгалтерской отчетности в налоговые органы?,Упрощенная бухгалтерская отчетность сдается в электронном виде в налоговый орган по месту регистрации компании в срок до 31 марта.,
В чем заключается упрощение бухгалтерской отчетности?,Упрощение бухгалтерской отчетности заключается в сокращении числа документов и применении менее детальных форм.,
Сколько показателей содержит упрощенный баланс?,Упрощенный баланс содержит пять показателей в активе и шесть – в пассиве.,
Какие особенности упрощенного отчета о финансовых результатах?,"В упрощенном отчете о финансовых результатах нет разделения по видам расходов по основной деятельности, а также отсутствует отдельное выделение текущего налога на прибыль.",
Где можно найти формы документов для бухгалтерской отчетности малых предприятий?,Формы документов для бухгалтерской отчетности малых предприятий можно найти в разделе «Конструктор документов».,
Нужно ли регистрировать книгу учета доходов и расходов (КУДиР) в налоговых органах для ИП и организаций на УСН?,"Нет, индивидуальные предприниматели и организации на УСН не должны регистрировать КУДиР в налоговых органах и сдавать ее на периодическую проверку. Однако они обязаны вести ее и предоставлять сотрудникам налоговой службы по первому требованию.",
Какие операции должны быть внесены в КУДиР при отсутствии доходов и расходов?,При отсутствии доходов и расходов в КУДиР вносятся нулевые показатели.,
Можно ли вести книгу учета доходов и расходов в электронном виде?,"Да, вести КУДиР можно как в бумажном, так и в электронном виде, за исключением случаев применения ЕСХН, когда требуется ежегодное представление распечатанной версии.",
Какие документы считаются подтверждающими для записей в КУДиР?,"Подтверждающими документами для записей в КУДиР считаются товарные или кассовые чеки, акты, накладные, платежные поручения, бланки строгой отчетности и другие документы.",
Какие правила заполнения КУДиР применяются при использовании УСН с объектом «доходы»?,"При УСН с объектом «доходы» в КУДиР записываются только доходы и уплаченные страховые взносы, с указанием даты поступления оплаты от клиента.",
Какие правила заполнения КУДиР применяются при использовании патентной системы налогообложения (ПСН)?,"При ПСН ИП ведет книгу учета доходов, в которую записываются доходы только от вида деятельности, на который получен патент. Расходы не учитываются.",
Какие последствия могут наступить за нарушение правил ведения КУДиР?,"За нарушение правил ведения КУДиР налоговая инспекция может наложить штраф от 10 до 30 тыс. рублей. Если налог был занижен, предусмотрен штраф в размере 20% от неуплаченной суммы, но не менее 40 тыс. рублей.",
Как можно исправить ошибку в КУДиР?,"Ошибка в КУДиР зачеркивается, делается верная запись, добавляется пометка «Исправленному верить». Рядом ставятся текущая дата, подпись и печать (при наличии).",
Какие документы регламентируют порядок заполнения КУДиР?,Порядок заполнения КУДиР регламентируется приказами Минфина России и МНС России от 13.08.2002 № 86н/БГ-3-04/430 и приказом ФНС России от 07.11.2023 № ЕА-7-3/816@.,
Какие требования предъявляются к оформлению КУДиР по завершении года?,"По завершении года книги учета должны быть сшиты, пронумерованы, на последней странице указано общее количество листов, а также заверены подписью руководителя и печатью (при наличии).",
С какого числа вступили в силу изменения в Федеральный закон «Об основах туристской деятельности в Российской Федерации»?,С 1 января 2025 г.,
Кто ведёт Единый реестр объектов классификации в сфере туристской индустрии?,Росаккредитация.,
Что такое классификация средства размещения?,"Это процедура, с помощью которой владелец средства размещения официально подтверждает, что его объект соответствует требованиям закона.",
Какие документы регламентируют систему классификации средств размещения?,"Федеральный закон № 132-ФЗ «Об основах туристской деятельности», Федеральный закон № 436-ФЗ, Постановление Правительства № 1951 и № 1952.",
Какие новые типы средств размещения появилось с 2025 года?,"Гостиницы, санатории, базы отдыха и кемпинги.",
Какие средства размещения обязаны пройти классификацию с 1 января 2025 года?,"Гостиницы, санатории, базы отдыха и кемпинги.",
Какие этапы включает в себя система классификации?,"Первый этап — обязательная самооценка, второй этап — добровольная классификация для получения категории (звезды).",
"Какие последствия наступят, если не пройти классификацию до 1 сентября 2025 года?","Действие классификации будет приостановлено, а для гостиниц и санаториев — категория (звездность) прекращена.",
Где можно получить информацию и консультации по классификации средств размещения?,"На официальном сайте Росаккредитации, в колл-центре и через онлайн-чат техподдержки.",
Какие штрафы предусмотрены за нарушение требований классификации?,"Для должностных лиц — 50–70 тысяч рублей, для юридических лиц — 50–70 тысяч рублей за предоставление услуг без включения в реестр.",
Какие требования предъявляются к туроператорам в соответствии с Федеральным законом от 24.11.1996 N 132-ФЗ?,"Туроператоры обязаны зарегистрироваться в качестве юридического лица, заключить договор страхования ответственности туроператора и (или) договор о предоставлении банковской гарантии, подать сведения в Единый федеральный реестр туроператоров и поддерживать их в актуальном состоянии.",
Как можно проверить информацию о туроператоре в Едином федеральном реестре туроператоров?,Проверить информацию можно онлайн на сайте Минэкономразвития России или на Госуслугах.,
Какие сведения должны быть актуальными для туроператора в реестре?,"Актуальными должны быть сведения о регистрации туроператора, финансовом обеспечении (договор страхования или банковская гарантия) и Фонде персональной ответственности туроператора.",
Какие документы необходимо оформить для организации туристических поездок за границу в рамках безвизового обмена?,"Необходимо состоять в списке туристических организаций, имеющих право осуществлять деятельность в рамках соглашений с конкретными странами.",
Какие требования предъявляются к контрагентам туроператора?,"Контрагенты должны соответствовать требованиям Федерального закона N132-ФЗ, включая наличие лицензий, аккредитации и проверку на признаки недобросовестности.",
Как проверить наличие лицензии у перевозчика пассажиров за границу?,"Для проверки можно воспользоваться сервисом Ространснадзора для перевозок автобусами, железнодорожным, водным и морским транспортом, а также открытой частью ФГИС «Такси» для легкового такси.",
Какие правила должны соблюдаться при заключении договора о реализации туристского продукта?,"Договор должен соответствовать федеральному законодательству, включая Закон РФ «О защите прав потребителей», и содержать информацию о программе пребывания, маршруте, условиях путешествия и других важных условиях.",
Какие аспекты проверяет Роспотребнадзор при оценке качества туристических услуг?,"Роспотребнадзор проверяет безопасность услуг, достоверность информации, правильность оформления документов, наличие книги отзывов и предложений, а также специальное обучение работников.",
Какие сервисы доступны для продвижения туристического продукта?,"Туроператор может использовать сервисы продвижения, запуска рекламы, а также установить виджет «Мы в реестре туроператоров» на своем сайте.",
Какие меры предпринимает государство в случае чрезвычайных ситуаций с российскими туристами за границей?,"Государство обеспечивает эвакуацию туристов в соответствии с алгоритмом, утвержденным протоколом заседания оперативного штаба, и предоставляет информацию через МИД России и Ассоциацию «ТУРПОМОЩЬ».",
Какой федеральный закон регулирует деятельность туроператоров в России?,"Федеральный закон от 24.11.1996 N 132-ФЗ ""Об основах туристской деятельности в Российской Федерации"".",
Какие документы необходимо заключить туроператору для ведения деятельности?,Туроператору необходимо заключить договор страхования ответственности туроператора и (или) договор о предоставлении банковской гарантии.,
Как можно проверить информацию о туроператоре в реестре?,Информацию о туроператоре можно проверить онлайн на сайте Минэкономразвития России или на Госуслугах.,
"Какие требования предъявляются к туристическим маршрутам, требующим специального сопровождения?","Такие маршруты должны быть оценены и утверждены с учетом сложности, наличия особенностей местности и наличия препятствий по критериям, утвержденным Правительством РФ.",
Какие штрафы предусмотрены за отсутствие аттестованного инструктора-проводника?,"Для граждан — от 20 до 40 тыс. руб., для должностных лиц — от 70 до 100 тыс. руб., для юрлиц — от 100 до 150 тыс. руб.",
Какие сервисы можно использовать для проверки контрагентов?,"Для проверки контрагентов можно использовать Сервис проверки контрагентов, а также сервисы Росаккредитации и Ространснадзора.",
Какие аспекты проверяет Роспотребнадзор при оценке туристических услуг?,"Роспотребнадзор проверяет безопасность, достоверность информации, наличие книги отзывов и обучение сотрудников турфирмы.",
Какую информацию необходимо указать в договоре о реализации туристского продукта?,"В договоре необходимо указать программу пребывания, маршруты, условия путешествия, информацию о средствах размещения, условиях проживания и питания, сопровождении группы и другие важные детали.",
"Какие требования предъявляются к туроператорам, работающим в сфере въездного туризма?",Туроператоры обязаны уведомлять Минэкономразвития России о любых изменениях в данных юридического лица не позднее 10 рабочих дней и предоставлять новый договор страхования или банковскую гарантию за 45 дней до окончания действия текущего.,
Какие документы необходимо предоставить для посещения особо охраняемых природных территорий?,"Для посещения ООПТ необходимо получить разрешение, которое выдается на 1 календарный день, а в случае длительного пребывания — оформить новое разрешение после истечения срока.",
Что такое самодеятельный туризм по ГОСТ Р 57806?,"Самодеятельный туризм — это путешествия, походы, спортивные или рекреационные мероприятия, а также другие формы отдыха, не связанные с получением дохода от источников в стране (месте) временного пребывания, организуемые туристами самостоятельно, своими силами и средствами, без привлечения юридических организаций или индивидуальных предпринимателей, оказывающих туристические услуги.",
"Какие стандарты регулируют оказание туристических услуг, связанных с получением дохода?","Для оказания туристических услуг, связанных с получением дохода, необходимо соблюдать требования Федерального закона от 24.11.1996 N 132-ФЗ ""Об основах туристской деятельности в Российской Федерации"" и предписания серии стандартов, регулирующих параметры оказания услуг с надлежащим уровнем качества и обеспечения безопасности туристов.",
Какие стандарты регулируют организацию туристических поездок в природной среде с участием детей?,"Организация туристических поездок в природной среде с участием детей регулируется отдельным стандартом, однако в тексте не указан его конкретный номер.",
Какие стандарты относятся к сфере экологического туризма?,"К сфере экологического туризма относятся стандарты: ""Экологический туризм. Общие требования"" (ГОСТ Р 56642), ""Экологический туризм. Требования по обеспечению безопасности туристов"" (ГОСТ Р 70582), ""Экологический туризм. Требования к туристской инфраструктуре"" (ГОСТ Р 70583), а также ""Туристские услуги, предоставляемые на особо охраняемых природных территориях"" (ГОСТ Р 57287).",
Какие стандарты регулируют безопасность активных видов туризма?,"Безопасность активных видов туризма регулируется стандартом ""Безопасность активных видов туризма"" (ГОСТ Р 54601) и ""Безопасность активных видов туризма в Арктической зоне Российской Федерации"" (ГОСТ Р 59850.3).",
Какие стандарты касаются инфраструктуры для туризма на воде?,"Для туризма на воде регулируются стандарты: ""Водный туризм. Общие требования"" (ГОСТ Р 57805), ""Речные круизы. Общие требования"" (ГОСТ Р 56221) и ""Яхтенные порты (марины). Специальные требования к яхтенным портам (маринам) класса люкс"" (ГОСТ Р ИСО 21406).",
Какие стандарты касаются организаторов образовательных языковых туров?,"Организаторы образовательных языковых туров регулируются стандартом ""Организаторы образовательных языковых туров. Требования"" (ГОСТ Р ИСО 14804).",
Какие стандарты касаются туристических троп и маркировки?,"Туристические тропы и маркировка регулируются стандартами: ""Туристские тропы. Требования по маркировке троп"" (ГОСТ Р 70585) и ""Туристские тропы. Обустройство троп в целях обеспечения безопасности туристов и охраны окружающей среды"" (ГОСТ Р 70586).",
Какие стандарты относятся к горнолыжному туризму?,"К горнолыжному туризму относятся стандарты: ""Общие требования к предоставлению услуг горнолыжного туризма"" (ГОСТ Р 57280), ""Общие требования к деятельности горнолыжных комплексов"" (ГОСТ Р 55881) и ""Оценка качества и безопасности предоставления услуг горнолыжных комплексов"" (ГОСТ Р 57279).",
Где можно проверить статус действия стандартов?,Состояние действия стандартов можно проверить в Каталоге Росстандарта.,
Какой закон регулирует туристическую деятельность в Российской Федерации?,"Федеральный закон от 24.11.1996 N 132-ФЗ ""Об основах туристской деятельности в Российской Федерации"".",
Что необходимо для организации туристических поездок на коммерческой основе?,"Регистрация в качестве юридического лица, заключение договора страхования ответственности туроператора и (или) банковской гарантии, а также внесение сведений в Единый федеральный реестр туроператоров.",
"Как можно проверить, внесен ли туроператор в Единый федеральный реестр туроператоров?",Проверить онлайн через сайт Минэкономразвития России или на портале Госуслуг.,
Какие сведения должны быть актуальными для туроператора в реестре?,"Регистрация туроператора, финансовое обеспечение (договор страхования или банковская гарантия), а также информация о фонде персональной ответственности.",
Что такое механизм безвизового обмена туристическими группами?,"Механизм, позволяющий организовывать поездки в страны, с которыми у РФ установлены соглашения, при условии участия в списке туристических организаций, имеющих право на такие поездки.",
Как проверить наличие лицензии у перевозчика пассажиров?,"Для российских перевозчиков можно воспользоваться сервисом Ространснадзора, а для иностранных — сервисами страны регистрации перевозчика.",
Какие документы должны быть включены в договор о реализации туристского продукта?,"Договор должен включать программу пребывания, маршруты, условия путешествия, информацию о безопасности, таможенных и медицинских правилах, а также информацию о сопровождающих.",
Как можно проверить квалификацию экскурсоводов и инструкторов?,"Проверить по единому реестру, где доступен QR-код для специалистов, успешно прошедших аттестацию.",
Какие сервисы помогут в продвижении туристического продукта?,"Сервисы продвижения, запуска рекламы, а также виджет ""Мы в реестре туроператоров"" для повышения доверия клиентов.",
Как туроператор должен информировать туристов о рисках?,"Туроператор обязан информировать туристов о потенциальных опасностях в стране, включая медицинские, таможенные, санитарно-эпидемиологические риски и порядок обращения за помощью.",
Какие требования предъявляются к туроператорам в соответствии с Федеральным законом от 24.11.1996 N 132-ФЗ?,"Туроператоры должны быть зарегистрированы как юридические лица, иметь лицензию, заключить договор страхования ответственности или банковскую гарантию и внести сведения в Единый федеральный реестр туроператоров.",
Какие документы необходимо подать туроператору для внесения сведений в Единый федеральный реестр туроператоров?,"Туроператору необходимо подать сведения о регистрации, финансовом обеспечении (договор страхования или банковская гарантия) и иметь сайт компании.",
Какие изменения в сведениях о туроператоре должны быть уведомлены Минэкономразвития России?,Любые изменения в сведениях о юридическом лице должны быть уведомлены Минэкономразвития России не позднее 10 рабочих дней с момента внесения изменений.,
"Какие требования предъявляются к туристическим маршрутам, требующим специального сопровождения?","Для таких маршрутов необходимо определить необходимость отнесения к категории сложности, сформировать паспорт маршрута и присвоить категорию сложности с участием аккредитованного инструктора-проводника.",
Какие административные наказания предусмотрены за проведение экскурсий без привлечения аттестованного инструктора-проводника?,"Для граждан — штраф от 20 до 40 тысяч рублей, для должностных лиц — от 70 до 100 тысяч рублей, для юридических лиц — от 100 до 150 тысяч рублей.",
Какие сервисы можно использовать для проверки контрагентов туроператора?,"Проверить существование лицензии можно через сервис Ространснадзора для автобусов, железнодорожного, водного и морского транспорта, а также через открытую часть ФГИС ",
Какие документы должны быть включены в договор о реализации туристского продукта?,"Договор должен соответствовать законодательству, включать информацию о программе пребывания, маршруте, условиях путешествия, опасностях и медицинских правилах.",
Какие требования предъявляются к качеству предоставляемых туристических услуг?,"Качество туристских услуг должно соответствовать договору и обязательным требованиям, включая безопасность, достоверность информации, наличие книги отзывов и обучение работников.",
Как можно продвигать туристический продукт?,"Продвижение возможно через национальный фотобанк, использование виджета ",
